contig,nsnp,ndel,nins,N,position,sample
GFP_BAR_010,2.0,0.0,0.0,2623.0,1,TK6_WT_1h_BR0
GFP_BAR_010,2.0,0.0,0.0,2623.0,2,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,3,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,4,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,5,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,6,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,7,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,8,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,9,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,10,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,11,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,12,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,13,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,14,TK6_WT_1h_BR0
GFP_BAR_010,2.0,0.0,0.0,2623.0,15,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,16,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,17,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,18,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,19,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,20,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,21,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,22,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,23,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,24,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,25,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,26,TK6_WT_1h_BR0
GFP_BAR_010,1.0,1.0,0.0,2623.0,27,TK6_WT_1h_BR0
GFP_BAR_010,0.0,1.0,0.0,2623.0,28,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,29,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,30,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,31,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,32,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,33,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,34,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,35,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,36,TK6_WT_1h_BR0
GFP_BAR_010,0.0,1.0,0.0,2623.0,37,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,38,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,39,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,40,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,41,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,42,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,43,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,44,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,45,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,46,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,47,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,48,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,49,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,50,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,51,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,52,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,53,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,54,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,55,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,56,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,57,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,58,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,59,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,60,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,61,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,62,TK6_WT_1h_BR0
GFP_BAR_010,2.0,0.0,0.0,2623.0,63,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,64,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,65,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,66,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,67,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,68,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,69,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,70,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,71,TK6_WT_1h_BR0
GFP_BAR_010,2.0,0.0,0.0,2623.0,72,TK6_WT_1h_BR0
GFP_BAR_010,8.0,0.0,0.0,2623.0,73,TK6_WT_1h_BR0
GFP_BAR_010,14.0,0.0,0.0,2623.0,74,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,75,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,76,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,77,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,78,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,79,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,80,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,81,TK6_WT_1h_BR0
GFP_BAR_010,6.0,0.0,0.0,2623.0,82,TK6_WT_1h_BR0
GFP_BAR_010,9.0,0.0,0.0,2623.0,83,TK6_WT_1h_BR0
GFP_BAR_010,7.0,0.0,0.0,2623.0,84,TK6_WT_1h_BR0
GFP_BAR_010,13.0,0.0,0.0,2623.0,85,TK6_WT_1h_BR0
GFP_BAR_010,25.0,0.0,0.0,2623.0,86,TK6_WT_1h_BR0
GFP_BAR_010,6.0,0.0,0.0,2623.0,87,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,88,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,89,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,90,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,91,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,92,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,93,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,94,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,95,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,96,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,97,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,98,TK6_WT_1h_BR0
GFP_BAR_010,1.0,0.0,0.0,2623.0,99,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,100,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,101,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,102,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,103,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,104,TK6_WT_1h_BR0
GFP_BAR_010,0.0,0.0,0.0,2623.0,105,TK6_WT_1h_BR0
